     x1        x2    f(x1, x2)
-------  --------  -----------
1         5           4             => initial condition.
1.24067   5.48134     3.12632
1.07517   5.56411     2.80351
1.37486   6.16564     1.68659
1.19855   6.25354     1.33843
1.51831   6.89765     0.186897
1.33556   6.98839    -0.19044
1.66806   7.66193    -1.33384
1.48106   7.75426    -1.74334
1.8264    8.46626    -2.87954
1.63563   8.55883    -3.32826
1.99897   9.33581    -4.48401
1.8033    9.42735    -4.98421
2.1827   10.2648     -6.13659
1.98305  10.3553     -6.68977
2.37161  11.2284     -7.78988
2.17041  11.318      -8.38934
2.57803  12.2715     -9.48425
2.37373  12.3588    -10.1465
2.82145  13.4854    -11.325
2.61022  13.5693    -12.084
3.0652   14.7362    -13.1516
2.85521  14.8181    -13.9633
3.39728  16.3747    -15.2598
3.17597  16.4518    -16.2377
3.84281  18.5913    -17.7934
3.61085  18.6636    -18.9836
4.49181  21.85      -20.8614
4.25182  21.9163    -22.3236
6.48543  33.0271    -27.3201
6.44899  33.0344    -27.4379
6.44867  33.0346    -27.4379
6.44935  33.0359    -27.4379
6.44898  33.0361    -27.4379
6.44993  33.0383    -27.4379
6.44946  33.0385    -27.438
6.45047  33.0409    -27.438
6.44999  33.0411    -27.438
6.45174  33.0462    -27.4381
6.45105  33.0465    -27.4381
6.45489  33.06      -27.4383
6.4538   33.0603    -27.4384
6.45555  33.0749    -27.4385
6.45666  33.0748    -27.4387
6.45979  33.0857    -27.4388
6.45887  33.0859    -27.4388
6.46264  33.112     -27.4391
6.46399  33.1118    -27.4392
6.46697  33.1224    -27.4393
6.46614  33.1227    -27.4394
6.47225  33.1608    -27.4397
6.47364  33.1606    -27.4398
6.47627  33.1703    -27.4399
6.4756   33.1704    -27.4399
6.49502  33.2733    -27.4405
6.49592  33.2731    -27.4405
6.49596  33.2732    -27.4405
6.49593  33.2732    -27.4405
6.49598  33.2733    -27.4405
6.49596  33.2733    -27.4405
6.49601  33.2734    -27.4405
6.49598  33.2734    -27.4405
6.49604  33.2735    -27.4405
6.49601  33.2736    -27.4405
6.49608  33.2737    -27.4405
6.49605  33.2737    -27.4405
6.49615  33.274     -27.4405
6.4961   33.274     -27.4405
6.49625  33.2745    -27.4405
6.4962   33.2745    -27.4405
6.49687  33.2772    -27.4405
6.49674  33.2772    -27.4405
6.49674  33.2774    -27.4405
6.49677  33.2774    -27.4405
6.49681  33.2779    -27.4405
6.49687  33.2779    -27.4405
6.49707  33.2794    -27.4405
6.49716  33.2793    -27.4405
6.49727  33.2797    -27.4405
6.49722  33.2797    -27.4405
6.4977   33.2816    -27.4405
6.49761  33.2816    -27.4405
6.49761  33.2818    -27.4405
6.49764  33.2818    -27.4405
6.49766  33.2821    -27.4405
6.4977   33.2821    -27.4405
6.49787  33.2833    -27.4405
6.49794  33.2833    -27.4405
6.49801  33.2835    -27.4405
6.49798  33.2835    -27.4405
6.49834  33.285     -27.4405
6.49827  33.285     -27.4405
6.49828  33.2851    -27.4405
6.49829  33.2851    -27.4405
6.49831  33.2853    -27.4405
6.49834  33.2853    -27.4405
6.49846  33.2862    -27.4405
6.49851  33.2862    -27.4405
6.49856  33.2863    -27.4405
6.49854  33.2863    -27.4405
6.4988   33.2874    -27.4405
6.49875  33.2874    -27.4405
6.49875  33.2874    -27.4405
6.49876  33.2874    -27.4405
6.49877  33.2876    -27.4405
6.49879  33.2876    -27.4405
6.49889  33.2883    -27.4405
6.49892  33.2883    -27.4405
6.49896  33.2884    -27.4405
6.49894  33.2884    -27.4405
6.49914  33.2892    -27.4405
6.4991   33.2892    -27.4405
6.4991   33.2892    -27.4405
6.49911  33.2892    -27.4405
6.49912  33.2893    -27.4406
6.49914  33.2893    -27.4406
6.4992   33.2898    -27.4406
6.49923  33.2898    -27.4406
6.49925  33.2899    -27.4406
6.49924  33.2899    -27.4406
6.49938  33.2904    -27.4406
6.49935  33.2904    -27.4406
6.49935  33.2905    -27.4406
6.49936  33.2905    -27.4406
6.49937  33.2905    -27.4406
6.49938  33.2905    -27.4406
6.49943  33.2909    -27.4406
6.49945  33.2909    -27.4406
6.49946  33.2909    -27.4406
6.49946  33.291     -27.4406
6.49956  33.2914    -27.4406
6.49954  33.2914    -27.4406
6.49954  33.2914    -27.4406
6.49954  33.2914    -27.4406
6.49955  33.2915    -27.4406
6.49955  33.2915    -27.4406
6.49959  33.2917    -27.4406
6.4996   33.2917    -27.4406
6.49962  33.2917    -27.4406
6.49961  33.2917    -27.4406
6.49968  33.292     -27.4406
6.49967  33.292     -27.4406
6.49967  33.292     -27.4406
6.49967  33.292     -27.4406
6.49967  33.2921    -27.4406
6.49968  33.2921    -27.4406
6.49971  33.2923    -27.4406
6.49972  33.2923    -27.4406
6.49972  33.2923    -27.4406
6.49972  33.2923    -27.4406
6.49977  33.2925    -27.4406
6.49976  33.2925    -27.4406    => optimal condition
